TIPO;COD_AFIRMACAO;AFIRMACAO;DIMENSAO_SAUDE_EMOCIONAL
ARQUETIPOS;Q48;48. Meu Líder procura entender o momento de cada um, para obter o melhor resultado possível naquele momento.;Suporte Emocional
ARQUETIPOS;Q49;49. Meu Líder acredita que a minha performance aumenta quando os meus problemas particulares são resolvidos;Suporte Emocional
MICROAMBIENTE;Q01;1. Os integrantes do time são encorajados a tomar decisões com probabilidade de impacto previsto.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q02;10. As regras formais e informais determinadas pelo gestor não atrapalham aos membros do time para que exerçam suas atividades de modo satisfatório.;Prevenção de Estresse
MICROAMBIENTE;Q03;11. Os membros do time não têm a necessidade de consultar o gestor antes de entrar em ação.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q04;12. Os padrões de performance estabelecidos pelo gestor são percebidos como muito altos pelo time.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q05;13. Os objetivos da execução do trabalho são claramente explicados e entendidos pelos membros do time e estão atrelados a um objetivo comum.;Comunicação Positiva
MICROAMBIENTE;Q06;14. Os membros do time frequentemente fazem mais do que o normal para que o resultado do time como um todo seja positivo.;Prevenção de Estresse
MICROAMBIENTE;Q07;15. Se necessário, os membros do time fazem o trabalho do colega quando há algum imprevisto.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q08;16. Os membros do time têm uma relação de confiança entre eles.;Suporte Emocional
MICROAMBIENTE;Q09;17. Os membros do time se engajam para que suas performances sejam consideradas altas.;Prevenção de Estresse
MICROAMBIENTE;Q10;18. Neste time, o gestor encoraja os membros a tomarem riscos com coerência.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q11;19. O time não admite membros que fazem menos do que o esperado.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q12;2. Os integrantes do time são orientados frequentemente quanto ao seu desempenho.;Comunicação Positiva
MICROAMBIENTE;Q13;20. Os membros do time são orientados quando apresentam performance baixa.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q14;21. Os membros do time trabalham para atingir uma meta comum a todos.;Prevenção de Estresse
MICROAMBIENTE;Q15;22. Não há espaço para quem não está afim de performar bem neste time.;Prevenção de Estresse
MICROAMBIENTE;Q16;23. Quando um membro da equipe não está performando bem, ele sabe o que fazar claramente para melhorar.;Comunicação Positiva
MICROAMBIENTE;Q17;24. Os membros da equipe entendem claramente os objetivos da empresa.;Comunicação Positiva
MICROAMBIENTE;Q18;25. As regras formais e informais nos ajudam a realizar nosso trabalho.;Prevenção de Estresse
MICROAMBIENTE;Q19;26. Os membros do time frequentemente fazem comentários positivos sobre o time.;Comunicação Positiva
MICROAMBIENTE;Q20;27. Os membros do time tem entendimento do que é necessário para fazer melhor.;Comunicação Positiva
MICROAMBIENTE;Q21;28. Caso um risco calculado resultasse em algo negativo, os membros do time acham que seriam apoiados.;Suporte Emocional
MICROAMBIENTE;Q22;29. Os membros do time são orientados sobre a melhor maneira de realizar suas tarefas.;Comunicação Positiva
MICROAMBIENTE;Q23;3. Os integrantes do time tem proximedade entre eles.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q24;30. Os membros do time entemdem claramente como o trabalho deles está atrelado aos objetivos da empresa.;Comunicação Positiva
MICROAMBIENTE;Q25;31. O gestor somente implementa regras que são importantes para a execução dos trabalhos.;Prevenção de Estresse
MICROAMBIENTE;Q26;32. Os membros do time são leais uns com os outros.;Suporte Emocional
MICROAMBIENTE;Q27;33. Os membros do time geralmente aceitam bem uma proposta de inovação.;Prevenção de Estresse
MICROAMBIENTE;Q28;34. No time, o gestor evidencia a melhoria da eficiência.;Comunicação Positiva
MICROAMBIENTE;Q29;35. Se o time observa que um membro não está oferecendo o melhor possível, o time procura engajá-lo a melhorar.;Suporte Emocional
MICROAMBIENTE;Q30;36. Os membros do time sempre oferecem ajuda uns aos outros para que a tarefa seja concluida.;Suporte Emocional
MICROAMBIENTE;Q31;37. Quando um bom trabalho é realizado, sempre há um reconhecimento.;Suporte Emocional
MICROAMBIENTE;Q32;38. As regras formais e informais atuais colaboram para que a qualidade do trabalho seja superior.;Prevenção de Estresse
MICROAMBIENTE;Q33;39. Os membros da equipe são mais elogiados e incentivados do que criticados.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q34;4. Os objetivos destinados ao time pelo gestor desafiam o status quo.;Comunicação Positiva
MICROAMBIENTE;Q35;40. Os membros do meu time tomam decisões coerentes de forma autônoma.;Prevenção de Estresse
MICROAMBIENTE;Q36;41. Novas propostas de inovação são facilmente aceitas pelo time.;Prevenção de Estresse
MICROAMBIENTE;Q37;42. Os membros do time sabem o que precisam fazer e qual a expectativa sobre suas entregas.;Comunicação Positiva
MICROAMBIENTE;Q38;43. Os membros do time  são frequentemente encorajados a melhorar sua performance.;Comunicação Positiva
MICROAMBIENTE;Q39;44. O time é muito organizado.;Prevenção de Estresse
MICROAMBIENTE;Q40;45. As regras formais e informais são bastante objetivas e compreensíveis.;Prevenção de Estresse
MICROAMBIENTE;Q41;46. Os membros do time tem a liberdade de experimentar novas alternativas de realização das atribuições.;Prevenção de Estresse
MICROAMBIENTE;Q42;47. Todas as vezes que um membro do time realiza algo além da expectativa, ele é reconhecido.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q43;48. Os membros do time podem escolher a melhor forma de executar suas tarefas.;Comunicação Positiva
MICROAMBIENTE;Q44;5. Os integrantes do time remam em direção a um bem comum.;Comunicação Positiva
MICROAMBIENTE;Q45;6. Propostas de inovação por parte de um membro do time sempre são consideradas.;Prevenção de Estresse
MICROAMBIENTE;Q46;7. O meio mais eficiente de subir na empresa é assumir riscos de modo coerente.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q47;8. Os membros do time são cordiais uns com os outros.;Ambiente Psicológico Seguro
MICROAMBIENTE;Q48;9. Os membros do time sempre que necessário fazem mais do que o previsto para concluir um objetivo.;Equilíbrio Vida- Trabalho

